409,,,,,,,,,,,,,,,,
,Stage,Name,Dấu hiệu nhận biết,,,,,,,,,,,,,
,L0,Intake,"Tất cả các lead tồn tại, cả messenger, comment facebook, và số điện thoại",,,,,,,,,,,,,
,L0.A,Email & SĐT,Lead để lại số điện thoại,,,,,,,,,,,,,
,L0.B,Messenger,Lead nhắn tin cho page/ comment qua bài viết,,,,,,,,,,,,,
,L0.2.1,Gọi,Không nghe máy lần 1,,,,,,,,,,,,,
,L0.2.2,Gọi,Không nghe máy lần 2,,,,,,,,,,,,,
,L0.3,Unqualified Lead,Gọi 3 lần không nghe máy/ sai số/ nhắn tin vớ vẩn / không đăng ký,,,,,,,,,,,,,
,L1.1,Qualified Lead,"Gọi là nghe máy, quan tâm; hoặc rep tin nhắn, thể hiện mình có nhu cầu thật",,,,,,,,,,,,,
,L1.2,"Qualified Lead, đang convert","Cho phép add zalo, chờ kết bạn / Hẹn gọi lại tối nay / ngày mai",,,,,,,,,,,,,
,L1.3,"Qualified Lead, từ chối","Quan tâm nhưng quyết định ko mua, từ chối tư vấn thêm",,,,,,,,,,,,,
,L2.1,Quan tâm,Đã add Zalo được zalo,,,,,,,,,,,,,
,L2.2,"Quan tâm, đang convert",Đang tư vấn,,,,,,,,,,,,,
,L2.3,Không con quan tâm,"Từ chối, ghost",,,,,,,,,,,,,
,L3.1,Consider Lead,"Thấy phù hợp, đang cân nhắc mua",,,,,,,,,,,,,
,L3.2,"Consider Lead, đang convert",Đang hướng dẫn thanh toán,,,,,,,,,,,,,
,L3.3,"Consider Lead, từ chối","Ghost, không tiếp tục process lead",,,,,,,,,,,,,
,L4,Customer,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.
Sales Level,,,,,,,,,,,,,,,,
,Stage,Name,Dấu hiệu nhận biết,,,,,,,,,,,,,
,L0,Intake,"Tất cả các lead tồn tại, cả messenger, comment facebook, và số điện thoại",,,,,,,,,,,,,
,L0.A,Email & SĐT,Lead để lại số điện thoại,,,,,,,,,,,,,
,L0.B,Messenger,Lead nhắn tin cho page/ comment qua bài viết,,,,,,,,,,,,,
,L0.2.1,First Call,Không nghe máy lần 1,,,,,,,,,,,,,
,L0.2.2,Second Call,Không nghe máy lần 2,,,,,,,,,,,,,
,L0.3,Unqualified Lead,Lead vớ vấn/ nói k đki/ gọi k nghe,,,,,,,,,,,,,
,L1.1,Qualified Lead,"Nghe máy, có đăng ký, nhưng hẹn hôm khác gọi/ bảo gởi Zalo/ chưa có insight gì",,,,,,,,,,,,,
,L1.2,"Qualified Lead, processing","Gọi lại/ Gởi thông tin chung qua Zalo như yêu cầu, hỏi insight",,,,,,,,,,,,,
