Phase,Level Sales,Level tâm lý khách,,Giai đoạn,Suy nghĩ của khách hàng vào năm học,,Trigger,,H3,,user action by funnel,,,,,,
,,,,,P11,P12,P11,P12,P11,P12,In-app action,Sales- Dấu hiệu,Sales- Dấu hiệu cụ thể khi trò chuyện,Inbound,Mục tiêu đo,Metrics,Note ưu tiên
Awareness,L0,Problem Awareness,A0,Chưa nhận thức,,,,Không có,,,,,,,,"Thruplays các video về piano
Cost per thruplays so với benchmark
Time spend on ccontent piano related
Engagement (Like share content) các content piano related
CPM các content piano related",
,,,A1,Nhận biết vấn đề,,,"Thấy báo, chương trình truyền hình, hoặc các bài đăng trên mạng xã hội nói về vô số lợi ích của âm nhạc đối với sự phát triển của trẻ em
-> Mẹ coi việc học đàn là 1 điều tốt, nên làm","Thấy báo, chương trình truyền hình, hoặc các bài đăng trên mạng xã hội nói về vô số lợi ích của âm nhạc đối với sự phát triển của trẻ em
-> Mẹ coi việc con tiếp tục học đàn piano trong năm học là một điều tốt, nên làm",,,,,,,,,
,,,A2.A,Cảm giác bất khả thi,,,,,,,,,,,,,
,,,A2.B,Nhận thức về chi phí,,,,,,,,,,,,,
,,,A2.C,Tránh né & Bình thường hóa,,,,,,,,,,,,,
,L1,Solution Awareness,A3,"Nhận thức sâu sắc & Định hình lại
(Ai đó --> Mẹ)","Tôi nhận ra Piano sẽ giúp con xả stress, có thêm niềm vui","Vô năm học, con sẽ ưu tiên các môn học khác, nhưng vẫn nên duy trì thói quen để không quên, không phí công trước đó","

Thấy H4 của DREAM của Persona đó
Thấy nhà hàng xóm, con học vui tự tin hơn, ngoan hơn,..

Organic: Khát khao mong con tự tin hơn, bản lĩnh hơn. Lo lắng về tương lai, thành tích học tập,..

CTA hướng đến chuyện encourage mẹ tương tác với con sau video","

Thấy H4 của DREAM của Persona đó
- Trigger con chơi được như video
- Trigger con chỉ piano cho mẹ
- Trigger con ngồi vào đàn làm xyz gì đó

CTA hướng đến chuyện encourage mẹ tương tác với con sau video","Tôi xem hết các DREAM H4 lướt qua tôi (video, ads, con hàng xóm khoe,..)

(Peak): Xem xong đầu tôi đọng lại cảm xúc tích cực về Piano
Tôi muốn nói chuyện với con","Tôi xem hết các DREAM H4 lướt qua tôi (video, ads, con hàng xóm khoe,..)

Tôi mới tự sắp xếp ưu tiên việc học tập cho con, cũng không muốn bắt ép con, nhưng tôi tiếc vì đã cho con nghỉ Piano (Peak)
Không biết con có cảm giác này không, tôi muốn nói chuyện với con",,,,,Đo độ trend về việc học nhạc của xã hội,,
,,,A4,"Hành động đầu tiên (Mẹ --> Con)
Nếu con ở cạnh đó, mẹ sẽ làm","Tôi hỏi chuyện con
Con có thích không

Con có thích có sở thích mới ko, thử môn học mới,..

Suy nghĩ xem chèn việc học piano vào khung giờ nào của con","Tôi hỏi chuyện con, hoặc Tôi tự nghiền ngẫm lại về thời gian học của con, xem con và gia đình có đủ ability để học tiếp ko?

Suy nghĩ về khoảng thời gian nào là con học Piano được. Hiện tại đang phải nghĩ về trống 1-2h để thuê giáo viên/ cho đi học trung tâm","Con bảo thích
Thấy con nghịch nghịch cái đàn ở nhà
Thấy con xem tivi nhiều, là 1 người mẹ, tôi cần điều tốt nhất cho con","Thấy con nghịch nghịch đàn nhưng quên/ không ra bài hát/ không chơi được như trước

Thấy con bỏ quên cái đàn luôn","Thấy vui vì con tỏ ra hứng thú --> Hy vọng vào tương lai con trở thành DREAM

Thấy thất vọng, căng thẳng khi con dành nhiều thời gian cho mạng xã hội, những thông tin không kiểm soát được --> Khó chịu, không biết nói con như thế nào,..","Thấy viễn cảnh con trở thành DREAM

Tôi hi vọng nhưng thận trọng, không muốn ép buộc con",,,,,,,
,,Interest,A5,"Nhận thức có các cách học (trong đó có app) - H3
Mẹ --> internet
Nếu mẹ đang có internet, mẹ sẽ làm","Search phương pháp dạy con/ dạy piano trên Youtube, Google, Facebook, Tiktok
Lướt Social thì quảng cáo tới, lần đầu biết về việc học piano tại nhà","Lướt Social thì quảng cáo tới, lần đầu biết về việc học piano tại nhà

Nhận thức là việc con tiếp tục học đàn tại nhà không cần quỹ thời gian 1-2 tiếng như mình vẫn nghĩ",,,"Tôi cảm thấy hopeful có thể giúp con học đàn được mà vẫn thuận tiện với lịch trình hiện tại của con
Tôi curious về cách học này là học như thế nào

Tuy nhiên tôi cũng không chắc, con sẽ học được online đàn không vì trước giờ chỉ biết học đàn trực tiếp với thầy cô thôi (Có học online các môn khác)","Tôi cảm thấy hopeful có thể giúp con học đàn được mà vẫn thuận tiện với lịch trình hiện tại của con
Tôi curious về cách học này là học như thế nào, con đã học được 1 thời gian rồi thì khi vào ứng dụng học như thế nào?

Tuy nhiên tôi cũng không chắc, con sẽ học được online đàn không vì trước giờ con đã quen học trực tiếp với thầy cô",,,,,,,
Acquisition,L2,,A6,"Cân nhắc app có phải 1 giải pháp - H4 (hiểu học app là gì)
Internet --> Mẹ
Nếu mẹ đọc đủ các thông tin cần đọc, mẹ sẽ làm","Con có học đàn được với ứng dụng đàn này không (con có vui thích không)

Action:
- Mẹ tìm hiểu thêm thông tin về cách học này
+ Inb
+ Cmt
+ Đăng ký để lại sđt 
+ Vào trang social để xem
+ Vào nhóm cộng đồng để xem
+ Tải app - coi thử

- Hỏi con: Con thích học kiểu này không?","Có thật sự đạt được DREAM với app này k? 
Học online có hiệu quả k? Lại còn k có giáo viên? Lỡ học sai thì sao? Kiến thức có được kiểm chứng k?
Con có thích học như thế này k?",,,"Có được đủ thông tin để so sánh
+ Mới bắt đầu chưa biết gì từ con số 0 luôn có học được không?
+ Học như thế nào? Có học với đàn thật không?
+ Con học không hiểu thì sao?

Hỏi con thì con thích học, mẹ hào hứng tìm kiếm thêm thông tin","Có đủ thông tin để so sánh:
- Con mình sẽ bắt đầu từ đâu với phương pháp này?
- Học như thế nào, học những gì?
- Khi nào con nên học gì?
- Con học như thế này thì sau .. thời gian sẽ đạt được đầu ra là gì?
- Có gì là không tốt cho con không? Những người có chuyên môn cao, thẩm quyền cao có approve cách này không?

Lo lắng, sợ học sai, mơ hồ, mông lung, cảm thấy mới lạ, chưa biết gì",,,,,,,
