Phase,Level Sales,Level tâm lý khách,,Giai đoạn,Suy nghĩ của khách hàng,MAT=B,,,,,user action by funnel,,,,,,,,
,,,,,,Motivation,Ability,Trigger,Action,User Action,In-app action,,Sales- Dấu hiệu,Sales- Dấu hiệu cụ thể khi trò chuyện,Inbound,Mục tiêu đo,Metrics,Note ưu tiên,
Awareness,L0,Problem Awareness,A0,Chưa nhận thức,"""Tôi không nhận ra việc học piano là điều cần làm trong cuộc sống này""",Không,Không,Không,Không làm gì,Tiếp nhận thông tin thụ động,,,,,,,"Thruplays các video về piano
Cost per thruplays so với benchmark
Time spend on ccontent piano related
Engagement (Like share content) các content piano related
CPM các content piano related",,
,,,A1,Nhận biết vấn đề,"""Ồ, học Piano cũng vui, nhưng tôi không cần phải học ngay bây giờ.""",Không/ Thấp,-,Không,"So sánh với các vấn đề khác
Cảm thấy vấn đề này bé
Không ưu tiên",,,,,,,,,,
,,,A2.A1,Cảm giác bất khả thi,"""Học Piano khó, tôi không nghĩ mình sẽ học được với khả năng tài chính và thời gian rảnh của tôi""",Thấp,Không (đối với các giải pháp phổ biến hiện tại),Không,"Không có giải pháp mới
Các vấn đề khác có nhiều giải pháp dễ làm hơn
Bỏ cuộc, không giải quyết",,,,,,,,,,
,,,A2.A2,,"""Học Piano khó, tôi đã từng thử tìm kiếm các phương pháp học với mình nhưng không thấy phù hợp, không hiệu quả""",,,,,,,,,,,,,,
,,,A2.B,Nhận thức về chi phí,"""Học Piano tốn rất nhiều chi phí cơ hội về tiền, về thời gian, nỗ lực công sức bỏ vào, liệu nó có đáng để mình đánh đổi không?""",Thấp,Thấp (chi phí),Không,Ngại đầu tư,,,,,,,,,Thiếu content dọc chất lượng cao,
,,,A2.C,Tránh né & Bình thường hóa,"""Cả thế giới chỉ có người giỏi mới học được Piano thôi, mình bình thường, mình không học được cũng không sao.""",Thấp,"Trung bình/ Cao
(có tiền có tgian, ít physical & mental efforts)",Xã hội không action,Không thấy cần làm,,,,,,,Đo độ trend về việc học nhạc của xã hội,,,
,L1,Solution Awareness,A3,Nhận thức sâu sắc & Định hình lại - H4,"""Khoan đã, mình có thể học được Piano, không nhiều rào cản như mình từng nghĩ.""",Thấp/ Trung Bình,Thấp/ Trung Bình,Tưởng tượng đến tương lai,Sẵn sàng tìm hiểu các phương pháp,"Tìm kiếm thông tin về piano, học piano
Trò chuyện, nhắc đến nhiều, quan tâm tới hashtag/ tag video, post, blog, ... liên quan đến piano",,,"""Chưa học piano bao giờ, chưa biết gì, giờ mới học từ đầu thì có được không?""",,,,"Google trends
Doanh thu, thống kê ngành liên quan tới đàn
Xu hướng doanh thu, lượt quan tâm của toàn bộ thị trường học đàn
Số lượng hashtag, video tag, post về học nhạc
Lượt xem Youtube, Tiktok, Facebook về các video học nhạc
CPM các content piano related
Số giá L1 (cost per L1)
Time spend on content learning piano related",,
,,,,,,,,,,,,"Survey

User profile age

",Hỏi tách segment,,Survey,,,,
,,,A4,Hành động đầu tiên - H2,"""Có lẽ mình nên tìm hiểu những cách học Piano phù hợp với bản thân, chắc chắn sẽ có cách phù hợp với mình.""",Trung bình,Thấp/ Trung Bình,,Sẵn sàng tiếp nhận thông tin,,,,"-Không hiểu gì về APP
-Hiểu nhầm về APP
","-Trường này là gì vậy em?
-Thầy nào dạy
-Học online à em
-Có giáo viên hướng dẫn không?
-Gởi video bài giảng hay sao
--Mua phần mềm à?
-Học như nào vậy em?",,,,,
,,Interest,A5,Nhận thức có các cách học (trong đó có app) - H3,"""Học Piano đang có các cách gì nhỉ? Hình như có mấy cách này, để xem có phù hợp với mình không""",Trung bình,Thấp/ Trung Bình,,,"Đăng ký tìm hiểu thông tin
Đăng ký nhận tài liệu free
Comment quan tâm các bài viết liên quan đến Piano
Inbox page trung tâm học, page non brand, join community học đàn,..",Install,,"

BIẾT đến sự tồn tại của việc học piano qua app Simpia
(app, online, tự học)","-Nó kết nối như nào

-Đăng ký theo năm hay sao?
-Có dễ không",,,"Cost per L1
Tỉ lệ L1/L0
Số comment
Cost per comment
Website traffic
CVR1 (tỉ lệ lead/ view ldp)
CTR content
Time spend on content
CPM",Hiện tượng: L1/ L0= 30-40% -> cao hơn so với benchmark (15-20%),Lâu dài
Acquisition,L2,,A6,Cân nhắc app có phải 1 giải pháp - H4,"""Hình như ngoài các cách truyền thống còn có cách học mới là qua app và nó thật sự hiệu quả nữa. Nhưng có thể có nhiều rủi ro""",Trung bình,Trung bình,,"So sánh với các substitute (các giải pháp học piano hiện có), không đưa ra quyết định","Tìm hiểu các giải pháp học piano cụ thể khác nhau: Học online video, học trung tâm, muốn giáo viên kèm, học qua app
có đàn hoặc cân nhắc mua đàn trong thời gian ngắn
",,"
dialog_setting_community_click","- Hiểu về cách thức, hình thức học 
- Hỏi về các tính  năng
- Học với app thì học được cái gì (có nền tảng rồi thì học gì nữa, học lâu r hỏng nền tảng thì học gì nữa) 
","- Đàn này kết nối được không, kêt nối như nào
- Lộ trình ra sao?
","Tham gia community
Đăng bài trong các community group
Chat trong các group để hỏi","Đo độ phổ biến, khả năng hiển thị thông tin của app trong quá trình customer so sánh",,,
